"City","Suburb","Street","Box"
"DURBAN","","4000","4001"
"City","Suburb","Street","Box"
"DURBAN","45TH CUTTING","N/A","4091"
"DURBAN","ADDINGTON","N/A","4001"
"DURBANVILLE","AMANDAGLEN","N/A","7550"
"DURBAN","ASHERVILLE","N/A","4091"
"DURBAN","ATHENA GARDENS","N/A","4037"
"DURBAN NORTH","ATHLONE","N/A","4051"
"DURBANVILLE","AURORA","N/A","7550"
"DURBANVILLE","AURORA EST","N/A","7550"
"DURBANVILLE","AURORA LGD","N/A","7550"
"DURBAN","AUSTERVILLE","4005","4052"
"DURBAN NORTH","AVOCA","N/A","4051"
"DURBAN NORTH","AVOCA HILLS","N/A","4051"
"DURBAN","AVONDALE ROAD","4101","N/A"
"DURBAN","BAYHEAD","4052","N/A"
"DURBAN","BEACH","N/A","4001"
"DURBAN NORTH","BEACHWOOD","N/A","4051"
"DURBAN","BELLAIR","4006","4094"
"DURBAN","BEREA","N/A","4001"
"DURBAN","BEREA ROAD","4007","N/A"
"DURBAN","BEREAWEG","4007","N/A"
"DURBANVILLE","BERGSHOOP","N/A","7550"
"DURBANVILLE","BERGSIG","N/A","7550"
"DURBAN","BISHOPSGATE","4008","N/A"
"DURBAN NORTH","BLUE RIDGE","N/A","4051"
"DURBAN","BLUFF","4036","4052"
"DURBAN","BOOTH AANSLUITING","N/A","4094"
"DURBAN","BOOTH JUNCTION","N/A","4094"
"DURBAN","BOTANIC GARDENS","N/A","4001"
"DURBAN NORTH","BRIARDENE","N/A","4051"
"DURBAN","BRIGHTON BEACH","N/A","4052"
"DURBAN NORTH","BROADWAY","N/A","4051"
"DURBAN","BUCHANAN PARK","N/A","4001"
"DURBAN","BUSHLANDS","N/A","4052"
"DURBAN","CARRINGTON HEIGHTS","N/A","4001"
"DURBAN","CATO MANOR","N/A","4091"
"DURBANVILLE","CHANTECLER","N/A","7550"
"DURBAN","CLAIRWOOD","N/A","4052"
"DURBAN","CONGELLA","4013","4001"
"DURBAN NORTH","COROVOCA","N/A","4051"
"DURBAN NORTH","CRANBROOK PARK","4019","N/A"
"DURBAN","CROSSWAYS","4038","4052"
"DURBANVILLE","D'URBANVALE","N/A","7550"
"DURBAN","DALBRIDGE","4014","4001"
"DURBANVILLE","DANENA","N/A","7550"
"DURBAN","DORMERTON","4015","4091"
"DURBAN NORTH","DRAEGER PLACE","4019","N/A"
"DURBAN NORTH","DUFF'S ROAD","N/A","4051"
"DURBAN NORTH","DUFFWEG","N/A","4051"
"DURBAN","","4000","4001"
"ROODEPOORT","DURBAN DEEP","N/A","1724"
"DURBAN","DURBAN INTERNASIONALE LUGHAWE","4029","N/A"
"DURBAN","DURBAN INTERNATIONAL AIRPORT","4029","N/A"
"DURBAN","DURBAN NORTH","4016","4051"
"DURBAN","DURBAN-NOORD","4016","4051"
"CAPE TOWN","DURBANVILLE","7551","7550"
"DURBANVILLE","DURBANVILLE HILLS","N/A","7550"
"DURBANVILLE","DURBELL","N/A","7550"
"DURBANVILLE","DURMONTE","N/A","7550"
"DURBAN","EAST END","4018","N/A"
"DURBANVILLE","EAST ROCK","N/A","7550"
"DURBAN NORTH","EFFINGHAM HEIGHTS","N/A","4051"
"DURBAN NORTH","ELLIS PARK","N/A","4051"
"DURBAN","ESPLANADE","N/A","4001"
"DURBAN","ESSENWOOD","N/A","4001"
"DURBANVILLE","EVERGLEN","N/A","7550"
"DURBANVILLE","EVERSDAL","N/A","7550"
"DURBANVILLE","EVERSDAL HEIGHTS","N/A","7550"
"DURBANVILLE","FAIRTREES","N/A","7550"
"DURBANVILLE","FISANTEKRAAL","N/A","7550"
"DURBAN NORTH","FROSTERLEY PARK","4019","N/A"
"DURBAN","GALEHEATH","N/A","4001"
"DURBAN","GLEN ANIL","N/A","4051"
"DURBANVILLE","GLEN IVE","N/A","7550"
"DURBAN","GLENASHLEY","4022","4051"
"DURBAN NORTH","GLENHILLS","N/A","4051"
"DURBAN","GLENMORE","N/A","4001"
"DURBAN","GLENWOOD","N/A","4001"
"DURBANVILLE","GOEDEMOED","N/A","7550"
"DURBAN","GREENWOOD PARK","N/A","4051"
"DURBAN","GREYVILLE","4023","4001"
"DURBAN","GROSVENOR","N/A","4052"
"DURBAN","HAPPY VALLEY","N/A","4052"
"DURBAN","HILLARY","4024","4094"
"DURBAN","HIPPOMERE","N/A","4091"
"DURBAN NORTH","HOLWOOD PARK","4019","N/A"
"DURBAN","HOWARDENE","N/A","4001"
"DURBAN","HYPER BY THE SEA","4053","N/A"
"DURBAN NORTH","ILALA RIDGE","4021","N/A"
"DURBAN","INANDA","4310","4309"
"DURBAN","ISLAND VIEW","N/A","4052"
"DURBAN NORTH","IZINGA RIDGE","4021","N/A"
"DURBAN","JACOBS","4026","4052"
"DURBAN","KENNETH GARDENS","N/A","4001"
"DURBANVILLE","KENRIDGE","N/A","7550"
"DURBANVILLE","KENRIDGE EST","N/A","7550"
"DURBANVILLE","KENRIDGE EXT 3","N/A","7550"
"DURBANVILLE","KENRIDGE HEIGHTS","N/A","7550"
"DURBANVILLE","KENRIDGE LGD","N/A","7550"
"DURBANVILLE","KENRIDGE UIT 3","N/A","7550"
"DURBAN","KENVILLE","N/A","4051"
"DURBAN","KINGS REST","N/A","4052"
"DURBAN","KINGS VIEW","N/A","4052"
"DURBAN","KIRKWOOD GARDENS","N/A","4001"
"DURBAN","KWAMASHU","4360","4359"
"DURBAN NORTH","LA LUCIA","4149","4051"
"DURBAN NORTH","LA LUCIA RIDGE","4019","4051"
"DURBAN","LAMONTVILLE","4027","4027"
"DURBANVILLE","LANGEBERG HILLS","N/A","7550"
"DURBANVILLE","LANGEBERG RAND","N/A","7550"
"DURBANVILLE","LANGEBERG RIDGE","N/A","7550"
"DURBANVILLE","LANGEBERG VILLAGE","N/A","7550"
"DURBAN","LAURIEN CREST","4028","N/A"
"DURBAN","LORNEGREY","4085","N/A"
"DURBAN","MANOR GARDENS","N/A","4001"
"DURBAN","MARBLE RAY","4035","4037"
"DURBAN","MARINE PARADE","4056","4001"
"DURBAN","MARINE TERMINAL","4137","4001"
"DURBAN","MARINO HEIGHTS","N/A","4091"
"DURBAN","MARLBOROUGH PARK","N/A","4052"
"DURBAN","MAYDON WHARF","4057","4001"
"DURBAN","MAYDONKAAI","4057","4001"
"DURBAN","MAYVILLE","4058","4091"
"DURBAN","MEREBANK","4059","4052"
"DURBAN","MEREBANK CENTRAL","4104","N/A"
"DURBAN","MEREWENT","N/A","4052"
"DURBAN","MOBENI","4060","4052"
"DURBAN","MOBENI HEIGHTS","N/A","4092"
"DURBAN","MONTCLAIR","4061","4004"
"DURBAN","MOORE ROAD","4083","N/A"
"DURBAN","MORNINGSIDE","N/A","4001"
"DURBANVILLE","MORNINGSTAR","N/A","7550"
"DURBAN NORTH","MOUNT MORIAH","4019","4051"
"DURBAN","MOUNT VERNON","N/A","4094"
"DURBAN","MUSGRAVE","N/A","4001"
"DURBAN","MUSGRAVE ROAD","4062","N/A"
"DURBAN","MUSGRAVEWEG","4062","N/A"
"DURBANVILLE","NERINA","N/A","7550"
"DURBAN NORTH","NOLLSWORTH PARK","4019","N/A"
"DURBAN","NORTH BEACH","4063","4001"
"DURBAN","NORTHDENE","4064","4093"
"DURBAN","NORTHRIDGE PARK","4162","N/A"
"DURBAN","NORTHWAY","4065","4051"
"DURBANVILLE","O'KENNEDYVILLE","N/A","7550"
"DURBAN","OCEAN VIEW","N/A","4052"
"DURBANVILLE","ONZE MOLEN","N/A","7550"
"DURBAN","OOS-EINDE","4018","N/A"
"DURBAN","OVERPORT","4067","4091"
"DURBAN NORTH","PARKHILL","N/A","4051"
"DURBANVILLE","PARKVIEW VILLAGE","N/A","7550"
"DURBAN","PAVILION","3611","N/A"
"DURBAN NORTH","PENCARROW PARK","4019","N/A"
"DURBAN","PHOENIX","4080","4068"
"DURBANVILLE","PINEHURST","N/A","7550"
"DURBAN","POINT","4069","4001"
"DURBANVILLE","PROTEAVILLE EST","N/A","7550"
"DURBANVILLE","PROTEAVILLE LGD","N/A","7550"
"DURBAN","PUNTANS HILL","N/A","4091"
"DURBAN","QUALBERT","4078","N/A"
"DURBAN","QUEENSBURGH","4070","4093"
"DURBAN","RANDRUS","N/A","4091"
"DURBAN","RED HILL","4071","4051"
"DURBAN","RESERVOIR HILLS","4090","4091"
"DURBAN","RIVERHORSE VALLEY EAST","4017","N/A"
"DURBAN NORTH","RIVERSIDE","N/A","4051"
"DURBAN","ROCHDALE PARK","4034","N/A"
"DURBAN","ROSEGLEN","N/A","4091"
"DURBAN","ROSEHILL","N/A","4051"
"DURBANVILLE","ROSENDAL","N/A","7550"
"DURBANVILLE","ROSENPARK","N/A","7550"
"DURBAN NORTH","RYDAL VALE PARK","4019","N/A"
"DURBANVILLE","SCHOONGEZICHT","N/A","7550"
"DURBAN","SEA COW LAKE","N/A","4051"
"DURBAN","SEA VIEW","N/A","4094"
"DURBAN NORTH","SHANVA HILLS","4019","4051"
"DURBAN","SHERWOOD","N/A","4091"
"DURBAN","SIHLABELELO","4362","N/A"
"DURBAN NORTH","SINEMBE PARK","4019","N/A"
"DURBAN","SNELL PARADE","4074","4001"
"DURBANVILLE","SONSIG","N/A","7550"
"DURBANVILLE","SONSTRAAL","N/A","7550"
"DURBANVILLE","SONSTRAAL HEIGHTS","N/A","7550"
"DURBANVILLE","SONSTRAAL HOOGTE","N/A","7550"
"DURBAN","SOUTH BEACH","N/A","4001"
"DURBAN","SPARKS EST","N/A","4091"
"DURBAN","SPARKS LGD","N/A","4091"
"DURBAN","SPRINGFIELD","N/A","4091"
"DURBAN NORTH","SPRINGFIELD PARK","N/A","4051"
"DURBAN","SPRINGTOWN","N/A","4091"
"DURBAN NORTH","SPRINGVALE","N/A","4051"
"DURBAN","STAMFORD HILL","4025","4001"
"DURBANVILLE","STELLENBERG","N/A","7550"
"DURBANVILLE","STELLENRYK","N/A","7550"
"DURBAN","SUMMERFIELDS","4162","N/A"
"DURBAN NORTH","SUNBURY PARK","4019","N/A"
"DURBAN NORTH","SUNNINGDALE","4019","4051"
"DURBAN NORTH","SUNNINGDALE 2","4019","N/A"
"DURBAN NORTH","SUNNINGDALE FERNLEA","4019","N/A"
"DURBAN NORTH","SUNNINGDALE VILLAGE","N/A","4051"
"DURBAN","SYDENHAM","N/A","4091"
"DURBANVILLE","TARA","N/A","7550"
"DURBANVILLE","THE CREST","N/A","7550"
"DURBAN NORTH","THE GARDENS","4019","N/A"
"DURBAN NORTH","TORSVALE PARK","4019","N/A"
"DURBAN","TREASURE BEACH","N/A","4052"
"DURBANVILLE","UITZICHT","N/A","7550"
"DURBAN","UMBILO","4075","4001"
"DURBAN","UMGENI","N/A","4001"
"DURBAN NORTH","UMGENI HEIGHTS","N/A","4051"
"DURBAN NORTH","UMGENI PARK","4098","4051"
"DURBAN NORTH","UMGENIHOOGTE","N/A","4051"
