City	Suburb	Street	Box
CAPE TOWN		8000	8001
City	Suburb	Street	Box
CAPE TOWN	ATHLONE	7760	7764
CAPE TOWN	ATHLONE INDUSTRIA 1	N/A	7764
CAPE TOWN	ATHLONE INDUSTRIA 2	N/A	7764
CAPE TOWN	BAKOVEN	N/A	8005
EASTERN CAPE	BALFOUR	5740	5740
CAPE TOWN	BANTRY BAY	N/A	8005
CAPE TOWN	BANTRYBAAI	N/A	8005
CAPE TOWN	BELHAR	7507	7493
CAPE TOWN	BELLVILLE	7535	7530
CAPE TOWN	BERGVLIET	7864	7945
CAPE TOWN	BO-KAAP	8001	8001
CAPE TOWN	BOTHASIG	7406	7441
CAPE TOWN	BRACKENFELL	7561	7560
CAPE TOWN	CAMPS BAY	8040	8005
-	CAPE MAIL SPEED SERVICES NETWORKS	8004	N/A
PRETORIA WEST	CAPE RESERVE	N/A	183
HUMANSDORP	CAPE ST FRANCIS	6313	N/A
MANGAUNG	CAPE STANDS	N/A	9307
CAPE TOWN		8000	8001
CAPE TOWN	CAPE TOWN INTERNATIONAL AIRPORT	7525	N/A
BRACKENFELL	CAPEGATE	7562	N/A
CAPE TOWN	CAPEMAIL	8003	N/A
CAPE TOWN	CENTRAL	N/A	8001
CAPE TOWN	CLAREMONT	7735	7708
CAPE TOWN	CLIFTON	N/A	8005
CAPE TOWN	COMPETITION MAIL	8017	N/A
CAPE TOWN	CONSTANTIA	7848	7806
CAPE TOWN	DE WATERKANT	N/A	8001
CAPE TOWN	DEVIL'S PEAK EST	N/A	8001
CAPE TOWN	DIEP RIVER	N/A	7800
CAPE TOWN	DIEP RIVIER	N/A	7800
CAPE TOWN	DRIEANKERBAAI	N/A	8005
CAPE TOWN	DUIWELSKLOOF LGD	N/A	8001
CAPE TOWN	DURBANVILLE	7551	7550
CAPE TOWN	EDGEMEAD	7407	7441
CAPE TOWN	EERSTE RIVER	7103	7100
CAPE TOWN	EERSTERIVIER	7103	7100
CAPE TOWN	FISH HOEK	7974	7975
CAPE TOWN	FORESHORE	N/A	8001
CAPE TOWN	FRESNAYE	N/A	8005
CAPE TOWN	GARDENS	N/A	8001
CAPE TOWN	GATESVILLE	7766	7764
CAPE TOWN	GRANGER BAY	N/A	8005
CAPE TOWN	GRANGERBAAI	N/A	8005
CAPE TOWN	GRASSY PARK	7888	7941
CAPE TOWN	GREEN POINT	8051	8005
CAPE TOWN	GROENPUNT	8051	8005
CAPE TOWN	GROOTE SCHUUR	7937	7925
CAPE TOWN	GUGULETU	7751	7750
CAPE TOWN	HANOVER PARK	7782	7780
WESTERN CAPE	HEIDELBERG	6665	6665
CAPE TOWN	HIGGOVALE	N/A	8001
CAPE TOWN	HIGH CAPE	8001	8001
CAPE TOWN	HIGHLANDS EST	N/A	8001
CAPE TOWN	HIGHLANDS LGD	N/A	8001
CAPE TOWN	HOUT BAY	7872	7806
CAPE TOWN	HOUTBAAI	7872	7806
CAPE TOWN	KAAPSTAD INTERNASIONALE LUGHAWE	7525	N/A
CAPE TOWN	KAMPSBAAI	8040	8005
CAPE TOWN	KENILWORTH	7745	7708
CAPE TOWN	KHAYELITSHA	7783	7784
CAPE TOWN	KLOOF STREET	8008	N/A
CAPE TOWN	KLOOFNEK	N/A	8001
CAPE TOWN	KLOOFSTRAAT	8008	N/A
WESTERN CAPE	LADISMITH	6655	6655
CAPE TOWN	LANGA	7456	7455
CAPE TOWN	LANGA SONE 1	N/A	7455
CAPE TOWN	LANGA SONE 10	N/A	7455
CAPE TOWN	LANGA SONE 11	N/A	7455
